Id,Label,Lat,Lng,Country,airportID,Mass,Dist2Air
n111,Notre Dame IN United States,41.6993293762,-86.2387924194,United States,4359,8925.0,4.098033983778187
n136,Portland OR United States,45.5117912292,-122.675628662,United States,3720,19976.0,6.522244772034892
n30,College Station TX United States,30.6205406189,-96.3258972168,United States,3715,123.0,3.1565906926965037
n138,Albuquerque NM United States,35.0841789246,-106.648643494,United States,4019,16414.0,3.768345388783663
n176,Milan Lomb. Italy,45.4519996643,9.1927700043,Italy,1529,50923.0,4.097778805373318
n47,Tampa FL United States,27.9465293884,-82.4592666626,United States,3646,12771.0,4.937837506169984
n221,Denver CO United States,39.7400093079,-104.992301941,United States,3751,20713.0,18.909519839466647
n216,Providence RI United States,41.8238716125,-71.4119873047,United States,3641,17137.0,6.322084202686962
n38,Milwaukee WI United States,43.041809082,-87.9068374634,United States,3717,17842.0,6.555534546449471
n21,Princeton NJ United States,40.3603096008,-74.6642837524,United States,3447,24324.0,9.753793378205762
n237,Buffalo NY United States,42.8854408264,-78.8784637451,United States,3820,17550.0,8.32370820420853
n201,Singapore  Singapore,1.2896441221,103.84148407,Singapore,3316,51535.0,11.3624470894868
n213,Taipei City  Taiwan,25.0474395752,121.516098023,Taiwan,2276,61728.0,17.85188973087284
n14,Tallahassee FL United States,30.4397697449,-84.2806472778,United States,3698,11060.0,5.115041473563197
n122,Miami FL United States,25.774810791,-80.1977310181,United States,3576,25599.0,5.91362666143844
n298,Lemont IL United States,40.1241493225,-89.1486282349,United States,4042,1.0,24.993557990777944
n370,Lexington KY United States,38.0485916138,-84.5003204346,United States,4017,17531.0,5.804634131128165
n66,Glasgow Scotland United Kingdom,55.8567008972,-4.267250061,United Kingdom,534,29577.0,6.514018708072423
n59,Los Alamos NM United States,35.8806381226,-106.304389954,United States,7584,9558.0,1.9587415399193064
n12,Sydney NSW Australia,-33.8740005493,151.20300293,Australia,3361,57997.0,5.196791749232078
n90,Bonn NW Germany,50.732421875,7.1018600464,Germany,344,18144.0,9.39437759775641
n109,Zurich ZH Switzerland,47.3656005859,8.5059499741,Switzerland,1678,43215.0,7.14013442018155
n612,Hamburg HH Germany,53.5533409119,9.9924697876,Germany,342,21749.0,5.326093561511097
n93,Valencia Valencian Community Spain,39.4631004333,-0.3253200054,Spain,1246,20165.0,8.530190006477488
n187, BE Germany,52.5014076233,13.4023284912,Germany,351,64983.0,6.278495004519563
n203,Richmond VA United States,37.5406990051,-77.4336471558,United States,3608,13557.0,6.710789993436579
n74,Sao Paulo SP Brazil,-23.5628395081,-46.6546401978,Brazil,2564,44186.0,14.805885242017016
n186,Heidelberg BW Germany,49.4134902954,8.7080698013,Germany,356,27556.0,9.619596952924221
n223,Bologna Em.Rom. Italy,44.4970016479,11.3182001114,Italy,1538,21700.0,3.0283817174775054
n345,Tsukuba Ibaraki Japan,36.0349006653,140.080154419,Japan,2281,42788.0,21.266561444545996
n284,Prague Prague Czech Republic,50.1269187927,14.4567203522,Czech Republic,1587,32372.0,8.900066095033909
n244,Grenoble Rhone-Alpes France,45.1859016418,5.7165999413,France,1335,20564.0,48.105317040673604
n258,Melbourne VIC Australia,-37.8242988586,144.977996826,Australia,3339,66772.0,12.76360754081028
n170,Daejeon Daejeon South Korea,36.3344917297,127.437309265,South Korea,6008,29127.0,26.62196417744318
n88,Tianjin Tianjin China,39.1449394226,117.200569153,China,3368,18803.0,7.932105753703499
n323,Edmonton AB Canada,53.4538002014,-113.509002685,Canada,49,27324.0,10.372158590516031
n285,Marseille PACA France,43.2933616638,5.3712902069,France,1353,19641.0,12.619022881689238
n198,Syracuse NY United States,43.0499916077,-76.1473922729,United States,3745,9748.0,4.70888061264195
n146,Ottawa ON Canada,45.3891983032,-75.68800354,Canada,100,29410.0,4.69805272812269
n610,Padua Ven. Italy,45.4085998535,11.9260997772,Italy,1539,18718.0,21.051282801320273
n116,Wako Saitama Japan,35.7893981934,139.623001099,Japan,2279,22116.0,42.82369960950314
n251, Haifa Israel,32.7775001526,35.0216674805,Israel,1596,18868.0,2.5325819492137875
n123,Fort Wayne IN United States,41.0802612305,-85.1383132935,United States,4041,930.0,7.630831247164818
n117, England United Kingdom,52.5988769531,-1.4668813944,United Kingdom,469,180.0,15.493507659134572
n100,Charleston SC United States,32.7811508179,-79.931602478,United States,3806,11382.0,10.289748351719787
n362,New Orleans LA United States,29.9536991119,-90.0777511597,United States,3861,28716.0,11.132514639516376
n2432,Wuhan Hubei China,30.5534954071,114.253257752,China,3376,29887.0,16.1335917725408
n400,Daegu Daegu South Korea,35.854019165,128.610336304,South Korea,2381,10270.0,3.879420715249405
n410,Mexico City DF Mexico,19.4319496155,-99.1331329346,Mexico,1824,31860.0,3.988067437547382
n84,Athens GA United States,33.9581298828,-83.3732528687,United States,5716,15575.0,2.770234455844034
n70,Columbia MO United States,38.9522094727,-92.3341522217,United States,3719,14753.0,11.126193027123001
n127,Santa Barbara CA United States,34.419380188,-119.699050903,United States,3949,13771.0,8.067923866671377
n105,Winston-Salem NC United States,36.0996208191,-80.2410888672,United States,4008,11378.0,16.959150578931254
n46,Copenhagen Capital Region Denmark,55.7132606506,12.5349302292,Denmark,609,37766.0,8.10188215454273
n190,Rotterdam South Holland Netherlands,51.9156990051,4.4575099945,Netherlands,591,29889.0,2.977776641671549
n106,Toledo OH United States,41.6538085938,-83.5362625122,United States,4040,4889.0,14.770528060848402
n9,Columbia SC United States,33.9988212585,-81.0453720093,United States,3561,9347.0,5.935679762689232
n194,Edinburgh Scotland United Kingdom,55.9541511536,-3.2027699947,United Kingdom,535,31949.0,6.5718462249375245
n214,Worcester MA United States,42.2634086609,-71.802192688,United States,6426,12576.0,3.767975214848183
n402,Guangzhou Guangdong China,23.1133708954,113.255233765,China,7457,19443.0,2.2559137444400865
n41,Garching BY Germany,48.2526016235,11.655500412,Germany,346,46028.0,9.213359509581476
n395,Oslo Oslo Norway,59.9122886658,10.75,Norway,644,23731.0,22.904513741762795
n78,Lincoln NE United States,40.813621521,-96.7077407837,United States,3543,9641.0,3.7295144991057496
n352,Calgary AB Canada,51.0452194214,-114.063018799,Canada,178,19389.0,5.094129359576605
n42,Groningen Groningen Netherlands,53.2486000061,6.5821900368,Netherlands,586,17740.0,8.905045396779801
n83,Louisville KY United States,38.2548599243,-85.7664031982,United States,4014,10624.0,5.811974968296956
n288,Flint MI United States,43.0114402771,-83.6867904663,United States,4089,609.0,4.2847698323142644
n132,Nijmegen Gelderland Netherlands,51.8321990967,5.8039197922,Netherlands,4198,17295.0,21.489771395955405
n133,Freiburg BW Germany,47.9985313416,7.8496499062,Germany,4053,16615.0,31.905102199306633
n253,Warsaw MA Poland,52.2287483215,21.0062503815,Poland,679,29621.0,4.657300785202864
n44,Honolulu HI United States,21.3048496246,-157.857757568,United States,3728,11732.0,4.270820736892903
n398, NC United States,35.5393447876,-79.1854171753,United States,3626,19.0,32.32166138413588
n183,Newport News VA United States,37.0828781128,-76.4802322388,United States,3611,2531.0,20.15618741390552
n561,Gwangju Gwangju South Korea,35.1529388428,126.905151367,South Korea,2361,10385.0,5.739680932898083
n357,Lawrence KS United States,38.9730606079,-95.2365264893,United States,3843,8082.0,22.9945701313287
n263,Richland WA United States,46.2739105225,-119.273719788,United States,6133,5107.0,7.416737758541846
n428,Toulouse Mid-Pyrenees France,43.6057281494,1.4486900568,France,1273,23132.0,4.541254082625985
n82,Hefei Anhui China,31.8700294495,117.27456665,China,3389,16363.0,6.374725559161013
n118,Santa Cruz CA United States,36.9740180969,-122.030952454,United States,3748,6063.0,27.42736232414667
n15,Baton Rouge LA United States,30.4433403015,-91.1869888306,United States,3846,12232.0,6.592484912307649
n571,Hannover NI Germany,52.3722686768,9.7381496429,Germany,352,19582.0,6.529261266564341
n294,Raleigh NC United States,35.7855110168,-78.6426696777,United States,3626,16651.0,10.310317216349903
n40,Leiden South Holland Netherlands,52.163898468,4.4876499176,Netherlands,591,25012.0,14.45805129914317
n239,Memphis TN United States,35.1497612,-90.0492477417,United States,3473,13162.0,8.47566330511947
n241,Omaha NE United States,41.2606887817,-95.9405899048,United States,3454,10478.0,3.8009186347909356
n147,Riverside CA United States,33.981628418,-117.373878479,United States,3734,14016.0,13.994766683196719
n16,Kansas City MO United States,39.1029510498,-94.5830764771,United States,3458,11039.0,15.163535219163911
n33,Hamilton ON Canada,43.2354011536,-79.8880004883,Canada,70,17372.0,4.881332934117698
n181, Vienna Austria,48.2084274292,16.3778209686,Austria,1613,44553.0,11.144663051189008
n282,Rio de Janeiro RJ Brazil,-22.9121608734,-43.1750106812,Brazil,2560,24251.0,8.365922261081815
n208,Amherst MA United States,42.3752593994,-72.518951416,United States,3825,13798.0,31.30074644913911
n451,Eldoret Rift Valley Kenya,0.5066699982,35.2731704712,Kenya,1138,189.0,7.447557494993708
n579,Jacksonville FL United States,30.3314704895,-81.6562194824,United States,3712,5185.0,11.390144869841478
n246,Birmingham England United Kingdom,52.4786682129,-1.9084800482,United Kingdom,469,29251.0,6.967851094347524
n11,Ames IA United States,42.0253410339,-93.6202011108,United States,3729,15438.0,34.02049905624462
n199,Louvain Flemish Region Belgium,50.8863983154,4.7080302238,Belgium,302,32819.0,9.79857444864314
n235,Little Rock AR United States,34.7486495972,-92.2744903564,United States,3660,8791.0,3.143051314696415
n346,Osaka Osaka Japan,34.677520752,135.512908936,Japan,2334,59458.0,8.583044100189559
n325,Knoxville TN United States,35.9604911804,-83.9209136963,United States,3676,10668.0,11.111450640467556
n94, St. Petersburg City Russia,59.9288749695,30.2215461731,Russia,2948,27112.0,8.996669910469583
n321,Lausanne VD Switzerland,46.528301239,6.6307501793,Switzerland,1665,20686.0,31.946429630145744
n733,Mainz RP Germany,50.0006103516,8.2722797394,Germany,340,17038.0,12.15640903155238
n281,Norman OK United States,35.2207603455,-97.4466018677,United States,3863,6434.0,14.740332338562471
n394,Trieste Fr.V.G. Italy,45.6417007446,13.8114004135,Italy,1545,9284.0,20.792217271361896
n640,Naples Camp. Italy,40.8476982117,14.2625999451,Italy,1561,22580.0,3.03031318982895
n128,Utrecht Utrecht Netherlands,52.0858001709,5.1308398247,Netherlands,580,31695.0,21.873775249769324
n505,Göttingen NI Germany,51.5598983765,9.9319200516,Germany,400,41.0,26.044002556922525
n81,Nanjing Jiangsu China,32.0497817993,118.765983582,China,3388,34161.0,21.99543182976134
n454,Genoa Lig. Italy,44.4025001526,8.9312896729,Italy,1528,11993.0,4.689219424587904
n164,Lebanon NH United States,43.6448097229,-72.2539520264,United States,5749,10331.0,2.825596770334799
n19,Turin Piem. Italy,45.0754013062,7.6462001801,Italy,1526,19550.0,8.662715059128198
n215,Troy NY United States,42.7344894409,-73.6880874634,United States,3864,15896.0,5.8425175610668525
n581,Bern BE Switzerland,46.9416007996,7.4088602066,Switzerland,1676,14587.0,4.578742984381085
n332,Uppsala Uppsala County Sweden,59.7573013306,17.3946990967,Sweden,737,1.0,19.657243335503633
n73,Buenos Aires City Buenos Aires Autonomous City Argentina,-34.6723213196,-58.4711303711,Argentina,3988,22499.0,10.988714249620063
n416,Blacksburg VA United States,37.2262611389,-80.4105834961,United States,4016,12288.0,24.886645480770532
n247,Karlsruhe BW Germany,49.0054016113,8.3868703842,Germany,4166,12022.0,20.922001222141414
n243,Lyon Rhone-Alpes France,45.7593917847,4.828979969,France,1335,29200.0,12.829895070103886
n165,Hong Kong Hong Kong Hong Kong SAR,22.283000946,114.158996582,China,3077,58759.0,15.725045894946447
n396,Brisbane QLD Australia,-27.468460083,153.023422241,Australia,3320,33600.0,8.197639609047545
n236,Liverpool City Centre England United Kingdom,53.4070014954,-2.9914999008,United Kingdom,491,21530.0,7.737372689984047
n358,Fort Collins CO United States,40.5814704895,-105.076263428,United States,3804,11993.0,42.01149666929675
n99,Storrs CT United States,41.8084793091,-72.2499389648,United States,3825,10191.0,24.04259638448128
n196,Ancona Marc. Italy,43.6170005798,13.5123996735,Italy,4309,3769.0,7.5118772120832045
n421,Athens Attica Greece,37.9928016663,23.7695007324,Greece,3941,37438.0,10.297385545364211
n278,Hangzhou Zhejiang China,30.2526245117,120.16507721,China,3386,27246.0,16.157613205402054
n301, Santiago Metropolitan Chile,-33.6039085388,-70.6270294189,Chile,2650,31.0,17.206468133640115
n308,London ON Canada,42.9868888855,-81.2462081909,Canada,174,18130.0,5.766838100176924
n385,Dublin Leinster Ireland,53.3330993652,-6.2488899231,Ireland,599,25377.0,6.158275403379045
n259,Ankara Ankara Turkey,39.9429016113,32.8605003357,Turkey,1682,38768.0,14.641464142309962
n343,Cologne NW Germany,50.9416694641,6.955160141,Germany,344,18828.0,9.70514473930044
n172,Lisbon Lisbon Portugal,38.716999054,-9.1386404037,Portugal,1638,19867.0,4.445731327224345
n67,Florence Tosc. Italy,43.7722015381,11.2536001205,Italy,1563,17220.0,3.557243267411936
n248,Tel Aviv Tel Aviv Israel,32.0852584839,34.7901306152,Israel,1590,35465.0,7.616187136495848
n151,Jackson MS United States,32.2986907959,-90.1804885864,United States,3580,5173.0,6.168714437210624
n114,Tuscaloosa AL United States,33.2104911804,-87.5659332275,United States,3811,4550.0,52.813600419605486
n18,Ghent Flemish Region Belgium,51.0477981567,3.7055699825,Belgium,299,20492.0,34.16208689013186
n141, Jerusalem Israel,31.7446212769,35.0083045959,Israel,1590,13.0,19.764343626012856
n266,Eugene OR United States,44.0499191284,-123.088539124,United States,4099,6342.0,8.00824210961761
n580,Basel BS Switzerland,47.5708007813,7.5856199265,Switzerland,4053,18041.0,2.946461358112716
n158,Bristol England United Kingdom,51.4537887573,-2.5916800499,United Kingdom,490,25438.0,7.367500246818354
n391,Jeonju North Jeolla South Korea,35.8269996643,127.144386292,South Korea,6003,2618.0,30.061157587345754
n29,Augusta GA United States,33.4790916443,-81.9753112793,United States,3658,5914.0,7.566735665992522
n764,Udine Fr.V.G. Italy,46.0572013855,13.2456998825,Italy,1545,3863.0,19.24313626405582
n145, Kyoto Japan,35.028342,135.769378,Japan,2334,49746.0,25.169197037700616
n293,Corvallis OR United States,44.5650405884,-123.263526917,United States,4099,10002.0,30.53763986907667
n483,Reykjavík Höfuðborgarsvæðið Iceland,64.1474075317,-21.9339904785,Iceland,18,3172.0,1.218853633443759
n1,Budapest Budapest Hungary,47.5130310059,19.1229801178,Hungary,1489,23921.0,8.12362914876855
n204,Leipzig SN Germany,51.345199585,12.3859395981,Germany,348,16528.0,8.662864414746142
n139,Grand Rapids MI United States,42.9664115906,-85.6711807251,United States,3685,1556.0,9.555507416389846
n731,Hershey PA United States,40.2853813171,-76.6509094238,United States,3542,5787.0,8.689231196579133
n364,Lund Skane County Sweden,55.7242012024,13.220700264,Sweden,708,18207.0,14.640062169443826
n209,GR Andalusia Spain,37.2935371399,-3.2729349136,Spain,1223,1.0,28.673617565001123
n538,Victoria BC Canada,48.4388999939,-123.396003723,Canada,184,7497.0,14.438375061200249
n5,Cracow MP Poland,50.0733985901,20.035900116,Poland,669,17553.0,11.136290379784041
n79,Istanbul Istanbul Turkey,41.0607299805,28.9877700806,Turkey,1701,29981.0,10.724208596661606
n58,Morgantown WV United States,39.6303710938,-79.9578475952,United States,4284,7713.0,2.373550842291695
n168,Erlangen BY Germany,49.5872993469,11.0257997513,Germany,347,16335.0,6.392589728330523
n311,Dresden SN Germany,51.0536308289,13.7408103943,Germany,338,18637.0,5.585798935214543
n309,Chengdu Sichuan China,30.65636,104.065984,China,3395,17142.0,8.882196739453274
n155,Waterloo ON Canada,43.5094985962,-80.5509033203,Canada,79,12254.0,9.268138305190938
n374,Canberra ACT Australia,-35.3065414429,149.126556397,Australia,3355,19347.0,3.8591042999893523
n554,Lancaster England United Kingdom,54.0484008789,-2.7932898998,United Kingdom,514,5631.0,21.384003059878978
n200,Gothenburg Vastra Gotaland County Sweden,57.672000885,12.0335998535,Sweden,687,21902.0,9.12019571304156
n1117,Ferrara Em.Rom. Italy,44.8115005493,11.5872001648,Italy,1538,4788.0,24.060362566515483
n418,Brussels Brussels Region Belgium,50.8427009583,4.3781099319,Belgium,302,25931.0,6.159108765980903
n50,Tübingen BW Germany,48.5213012695,9.052980423,Germany,350,18980.0,13.973194608125922
n55,Nagoya Aichi Japan,35.1433639526,136.916732788,Japan,5997,33246.0,7.723839273609398
n433,Changsha Hunan China,28.196149826,112.972679138,China,3371,14417.0,15.045624619253578
n60,Charlotte NC United States,35.222858429,-80.8379592896,United States,3876,5133.0,5.968198897765917
n219,Cagliari Sard. Italy,39.248298645,9.1266298294,Italy,1519,4352.0,3.876955957479438
n178,Frankfurt HE Germany,50.1120796204,8.6834096909,Germany,340,19507.0,8.586412912937648
n240,Athens OH United States,39.3284988403,-82.1044387817,United States,4114,3902.0,35.56630034908326
n608,Kuopio Eastern Finland Finland,62.9057006836,27.6847991943,Finland,439,5517.0,7.856108032794353
n492,Pavia Lomb. Italy,45.1945991516,9.1771202087,Italy,1529,9001.0,17.971197352610055
n1037,Annecy-le-Vieux Rhone-Alpes France,45.9254989624,6.1285200119,France,1665,1037.0,21.615473614295794
n1319,Santander Cantabria Spain,43.4641990662,-3.829390049,Spain,1251,3438.0,2.608484810148921
n226,Kent OH United States,41.1509284973,-81.3582229614,United States,4112,9091.0,16.80528679158842
n195,Córdoba Andalusia Spain,37.8856010437,-4.7587299347,Spain,1253,4535.0,69.95726213731132
n69,Bangkok Bangkok City Thailand,13.7533502579,100.504829407,Thailand,3885,13146.0,17.021569114428107
n167,Waco TX United States,31.5718193054,-97.1494979858,United States,3700,2153.0,5.492891168565402
n232,T'aichung  Taiwan,24.1637706757,120.647140503,Taiwan,2268,17339.0,7.169084095852075
n312,Auburn AL United States,32.6041412354,-85.481880188,United States,4255,7293.0,32.197144600756914
n488,Burlington VT United States,44.4759216309,-73.2132263184,United States,3711,7784.0,2.9687697922057406
n316,Strasbourg Alsace France,48.5906982422,7.699930191,France,1435,15309.0,4.882884176979527
n424,Wuppertal NW Germany,51.2715492249,7.196559906,Germany,345,2984.0,18.614857763027636
n413,Turku Southwest Finland Finland,60.4540596008,22.2669944763,Finland,460,10169.0,4.153538138679366
n765,Leeds city centre England United Kingdom,53.7998008728,-1.5482000113,United Kingdom,517,27442.0,6.468760997969901
n289,Novosibirsk Novosibirsk Russia,55.039768219,82.9102096558,Russia,4078,15897.0,10.4486781997525
n126,Perth WA Australia,-31.9470996857,115.865997315,Australia,3351,21380.0,5.936998520625305
n283, Capital District Colombia,4.3153343201,-74.1796035767,Colombia,2709,5.0,26.78130160376771
n231,Flagstaff AZ United States,35.1982002258,-111.651298523,United States,3446,2448.0,57.49080929358571
n745,Tehran Tehran Iran,35.689540863,51.4146842957,Iran,2131,31251.0,5.682662144651182
n582,Newcastle Business Park England United Kingdom,54.9615707397,-1.6402900219,United Kingdom,521,17564.0,5.62719771650939
n386,Sheffield City Centre England United Kingdom,53.381401062,-1.4745999575,United Kingdom,5562,22842.0,20.40008311081323
n599,Kiel SH Germany,54.3232498169,10.1322402954,Germany,364,11178.0,42.97304111175644
n756,Mumbai Maharashtra India,18.9301300049,72.8300933838,India,2997,1204.0,11.22983094954396
n120,Manhattan KS United States,39.1788101196,-96.5618362427,United States,4050,7821.0,6.397616893184365
n124,Southampton City Centre England United Kingdom,50.9014015198,-1.4040999413,United Kingdom,495,18709.0,3.9544793490165335
n952,Giessen HE Germany,50.5840988159,8.6783599854,Germany,340,8676.0,38.98933829803238
n148, Chiba Japan,35.4557533264,140.204086304,Japan,2279,17875.0,23.67561655030146
n182,Laramie WY United States,41.310798645,-105.590316773,United States,5746,3774.0,4.395616998793559
n287,Winnipeg MB Canada,49.9164009094,-97.2069015503,Canada,160,13027.0,1.531960639828724
n225,Orlando FL United States,28.538230896,-81.3773880005,United States,3878,18625.0,8.590331015193428
n160,Århus Middle Jutland Denmark,56.1845016479,10.1903095245,Denmark,607,13364.0,18.291551142155512
n551,Montpellier Languedoc-Roussillon France,43.6133003235,3.8886499405,France,1359,19515.0,4.51864534026158
n562,Adelaide SA Australia,-34.9248008728,138.591003418,Australia,3341,20516.0,3.697252047264446
n369,Exeter England United Kingdom,50.7195014954,-3.5414600372,United Kingdom,552,8874.0,5.6740423118439205
n624,Ljubljana Ljubljana Slovenia,46.0605010986,14.5165996552,Slovenia,1569,14716.0,11.622694928722446
n453,Lille Nord-Pas-de-Calais France,50.6194992065,3.0612399578,France,1399,14998.0,4.164607799302572
n845,Münster NW Germany,51.9630088806,7.6178097725,Germany,341,16.0,12.19527381473765
n620,Kalamazoo MI United States,42.2915687561,-85.588508606,United States,4039,3624.0,4.337769567814501
n466,Fayetteville AR United States,36.0632019043,-94.157913208,United States,4356,5683.0,17.239652207835903
n377,Verona Ven. Italy,45.4012985229,10.9869003296,Italy,1550,5539.0,4.787714888328393
n388,Kingston ON Canada,44.2315292358,-76.4793319702,Canada,3838,12.0,28.09442299167578
n482, Wales United Kingdom,52.3250656128,-3.7999658585,United Kingdom,488,95.0,67.03652488546955
n392,Bengaluru Karnataka India,12.9669704437,77.5872802734,India,3131,17277.0,5.573693883468575
n292,Oulu Northern Finland Finland,65.0102996826,25.4734992981,Finland,446,5820.0,6.543656184803021
n675,Lubbock TX United States,33.5845108032,-101.84500885,United States,3829,7168.0,5.614574290696535
n344,Provo UT United States,40.2336997986,-111.668502808,United States,7579,6041.0,3.0328428765274436
n512,Dayton OH United States,39.7591094971,-84.194442749,United States,3627,7739.0,9.986215903785515
